total_pnl,wallet
2954213.67,BfkNvWDMwM46uQ2WYCr7xGzmtCtH39zf48NKJ5ozCNn9
2940858.26,BZi5L1mCmVjXdUmeCRQWfKvuWqXakmRYQPFpmS559hD1
2935058.28,65qGwfc7kw5pTvBzSqm1Cvgh7FYNkXVpDrxJzHNJmEC5
2922834.84,9i8Y3G7qyHQoV8nWLAAzS4MeZ2fZT9riSFg31pVEfNYs
2921597.27,EZopeJNmE6WQSnfRyQaxJ29psZP1KBv2WWqQzNbPZnTr
2890116.24,FFTUoNzcR2MV54GNgVeDCqkDEj5xzyRgVnk1sFTgeh9B
2882766.7,Gh9rK1vCQdZZ63SATGV2dC9dcLyjxYu67shS8MDid3zb
2857008.78,gUPH84k3YhMSjXSfXrTAUzCjuqQinQMZg9TkAkoSR77
2855477.01,EtCvfhUw8tSjHTCTJ5WzpKitHVRkPW13xpC9qHPjEGxj
2852524.55,4UV63VZEtYaSURyeFAFGYeThsUzkiwz8wnHPsHvJSN1U
2847953.83,2kfc7wExT6R7HcpAqYRBGkGNsaKMAvUzmhtwgGWSzowj
2842819.2,3ntawKLwTyH3MRXs8ztDsanKB8hw7pDVKGxkAi5dYqyd
2826205.18,ApYz85FDJPFZSPB7rE4D2MSCKSyhCVqvvJNE1ybcfqQF
2801100.29,9eHsksi921byyGrVAUfUfHsnHzauwb6HQxUp42CB7Umc
2782372.33,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb
2779277.81,9sbXqBwbjxERarzSaKPFSSq2H8hDcHd3KURTR8nSqVYE
2777622.78,GMqwf2ct8runQarHgHxkbXgcMBJzwjVoL525ZLCAFLB2
2767112.0,8zoTkb1anRRGBnr7vMS7yb69ZDybLf2jahUE5iDb65d9
2756964.35,2hXs8LECGt9JMivtxHJATvjwiVWyJZKd3dfmzYioP4oi
2756136.36,8NZBJaCdmpK9vobvePajVJUYKki4YFum6HTAGWiw96TB
2747550.12,HeBHyXzwpynNFM6yjemWYie14rBWwTPiowN7qkX5HCL2
2747360.66,3pxSKe1xL3GaNh7kxpoNiEGiQ47ZgEpDBA9ikosdza8f
2730688.03,5UnMeR9kfmzV5EXuMYxjxpagkiwzg2miNP8HoG2RpDrb
2725836.68,5wTLevkkUWzKgRTWKcSjrgdoP8TnrEnXYGaAxFKibsS5
2719840.27,J9nMxfmxPjRnd3UrxazTSViEbwyru3Pzt5pwa1Sdcs4g
2716750.77,D5FVxtAaEVustw14pCP92iCiWpJ4SDHdLR2AvWGB7bB5
2712815.68,GbiKcGuQeYJuAhmmVzaM9D4ivLRM8q7o7a2gvRevmBVW
2709389.07,2nQ6uyDM767r4L9UVa8qwgCU77XAb5ZKcVBPGNjr8GLa
2706480.24,4PZ5msFrPZhhYmtSQhB4J38TAa5TD2uHKU4zEKZha6hd
2683054.73,c2bLVAwqC9KvYwXmj228msWXQCnfx1qY89knTEPZP42
2679422.77,7XGkKWLopB3X2kuLwfGKBq5uN9Jj8nQMLMW6yqjnSvXV
2678720.87,Hp7fx5PoK6jg7brkJYiQ1fdAR73fZpwtFZCuUPTY8pVg
2670808.8,5dDDSix4JDnGGRYxntQKpbnWzMyedu9euxy4Jc8D44yF
2667917.83,52PLdHKvVfdnoVTSDrxaxpBXp1aY5i7k77DgUyWbUpH3
2663944.72,CWJsYWk7WzwH2CnTK2UKVcNJc52uYFDtJfh57LZmEbxq
2656273.91,GKnsxVjjUkARPdEpiCCv97z8XxDhG1X12UFk6q8fDaR7
2633735.21,TyC6ttYUr2BVyTPxPpzKqdbpuJbquT6VXMsYVDwK2HF
2617251.78,92iYee4tHCanKiiCpFk3rvA89k466NjgVKojZkpJdcvj
2615172.64,8bcU1STysb1iqESaFoTmx8X4CbNcCCHcybG3CXC7nAxC
2600143.06,E7hVFmJvDGEkEWM6EGHhF9amY4EduojN6htdCh11b8Kn
2584562.78,HooderpigTVYapoXi6PQzxwtWhq3U1cuGvyu89fGjruY
2562708.65,GfLPiN1cUjL6YDeW9MR5woGKniCP9oDvnqohcCtQq2Sp
2556665.17,948ZdnmS29zKmKUV1ceMnGj8qS8nZxm9FaufK5bjy92a
2552241.31,ESr6Cto3c1u2hFLw8WQS3yZvSokNLU8LNi3FnMZQP58n
2549353.75,DFLsswviB5berifRS1qFXJhQMdSVkUYmu16hxrVbFtbm
2541934.04,AWstNnKcLMKWo78TseLwQx9szT9qWzd33QLAhaMVRpbB
2532440.25,FviaDt7LiMh5osJAPNUUZLW9timFAGTimh6QRc6q4uuL
2521361.83,686N4GW3656gPBWC4XMELNjqjNn6SvEqjeS3YHDHBYvi
2514792.8,EyrpvsNTHJJxkABPrxzK4rartNL1faMxKviq5A4tB4Rh
2511606.29,DqrTpRqgiEE5GKePgYkhRyR2Vx9XnSJrV1Jd3ZZVECLF
2503595.37,66MENXtEyS1EEvc6WEhqbtLVVdBpTRbuGb33BJC19asr
2497621.6,JD1dHSqYkrXvqUVL8s6gzL1yB7kpYymsHfwsGxgwp55h
2480163.47,7YktHzoqNRz1WN7wNLB8LfeSkrxSHipLSbZCT2LFADhx
2475435.08,9UL9RxgufT5ZQY163gHjRrfbhXxrBtGFv25tJjZHKtVK
2471199.94,7EuMTtaPG2CLYsqF4pP8x9Zg3zzujddoak5yUGEBFGf5
2467313.27,DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc
2447682.86,75GbYhubSexUmESbQhDsWV6od49Z44yiMCCvCD6YNB8A
2433450.37,D6nUhQ7o3TQwk243mgVS5hsdkuJk71fxZib3KxY4Upyv
2430279.07,hrx1rPTK8akUcjRPMgQeGcH1hvQ76LhnrD3LkKCkR86
2418993.14,4LZKUGRsHww51mD5TMbV8ncAoe5ymYiw3ZfcWzoS5wq5
2409532.14,6rpNHbHLdrFx9Kibsj24rmBvBLi1xucG8AL6RRLRZ8nv
2407966.38,3pFW9tvrnp42BDZHHvmZ56A8hwujG4wA9b8RAntC7ZPQ
2399633.6,5dDDSix4JDnGGRYxntQKpbnWzMyedu9euxy4Jc8D44yF
